#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Charge_End_Current(mA),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet,2800,3.6,4.2,1925,50,2.5,550,5,2789.873126
datasheet,2800,3.6,4.2,1925,50,2.5,550,10,2776.827374
datasheet,2800,3.6,4.2,1925,50,2.5,550,15,2763.072664
datasheet,2800,3.6,4.2,1925,50,2.5,550,20,2749.317955
datasheet,2800,3.6,4.2,1925,50,2.5,550,25,2735.563245
datasheet,2800,3.6,4.2,1925,50,2.5,550,25,2735.607184
datasheet,2800,3.6,4.2,1925,50,2.5,550,30,2721.070358
datasheet,2800,3.6,4.2,1925,50,2.5,550,35,2707.315648
datasheet,2800,3.6,4.2,1925,50,2.5,550,40,2693.560938
datasheet,2800,3.6,4.2,1925,50,2.5,550,45,2681.082841
datasheet,2800,3.6,4.2,1925,50,2.5,550,50,2669.537357
datasheet,2800,3.6,4.2,1925,50,2.5,550,55,2658.075099
datasheet,2800,3.6,4.2,1925,50,2.5,550,60,2646.612841
datasheet,2800,3.6,4.2,1925,50,2.5,550,65,2635.150583
datasheet,2800,3.6,4.2,1925,50,2.5,550,70,2623.656965
datasheet,2800,3.6,4.2,1925,50,2.5,550,75,2611.520456
datasheet,2800,3.6,4.2,1925,50,2.5,550,80,2599.533513
datasheet,2800,3.6,4.2,1925,50,2.5,550,85,2587.898772
datasheet,2800,3.6,4.2,1925,50,2.5,550,90,2575.762263
datasheet,2800,3.6,4.2,1925,50,2.5,550,95,2563.625755
datasheet,2800,3.6,4.2,1925,50,2.5,550,100,2551.489246
datasheet,2800,3.6,4.2,1925,50,2.5,550,105,2539.76163
datasheet,2800,3.6,4.2,1925,50,2.5,550,110,2530.746294
datasheet,2800,3.6,4.2,1925,50,2.5,550,120,2517.739331
datasheet,2800,3.6,4.2,1925,50,2.5,550,130,2506.472147
datasheet,2800,3.6,4.2,1925,50,2.5,550,140,2495.31968
datasheet,2800,3.6,4.2,1925,50,2.5,550,150,2483.044983
datasheet,2800,3.6,4.2,1925,50,2.5,550,155,2475.916101
datasheet,2800,3.6,4.2,1925,50,2.5,550,165,2459.947405
datasheet,2800,3.6,4.2,1925,50,2.5,550,170,2451.694579
datasheet,2800,3.6,4.2,1925,50,2.5,550,175,2443.441753
datasheet,2800,3.6,4.2,1925,50,2.5,550,185,2426.936101
datasheet,2800,3.6,4.2,1925,50,2.5,550,190,2419.542616
datasheet,2800,3.6,4.2,1925,50,2.5,550,200,2406.347209
datasheet,2800,3.6,4.2,1925,50,2.5,550,210,2394.105435
datasheet,2800,3.6,4.2,1925,50,2.5,550,220,2381.968926
datasheet,2800,3.6,4.2,1925,50,2.5,550,225,2375.605536
datasheet,2800,3.6,4.2,1925,50,2.5,550,235,2362.489861
