#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Charge_End_Current(mA),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_10,800,3.7,4.2,800,16,2.5,800,5,784.5410628
datasheet_10,800,3.7,4.2,800,16,2.5,800,10,774.6376812
datasheet_10,800,3.7,4.2,800,16,2.5,800,15,767.1611253
datasheet_10,800,3.7,4.2,800,16,2.5,800,20,762.1726952
datasheet_10,800,3.7,4.2,800,16,2.5,800,25,757.1753339
datasheet_10,800,3.7,4.2,800,16,2.5,800,30,754.3827017
datasheet_10,800,3.7,4.2,800,16,2.5,800,35,751.5960974
datasheet_10,800,3.7,4.2,800,16,2.5,800,40,748.5365161
datasheet_10,800,3.7,4.2,800,16,2.5,800,45,746.0358056
datasheet_10,800,3.7,4.2,800,16,2.5,800,55,742.3188406
datasheet_10,800,3.7,4.2,800,16,2.5,800,60,740.6649616
datasheet_10,800,3.7,4.2,800,16,2.5,800,65,738.7382779
datasheet_10,800,3.7,4.2,800,16,2.5,800,75,734.8291095
datasheet_10,800,3.7,4.2,800,16,2.5,800,90,731.761509
datasheet_10,800,3.7,4.2,800,16,2.5,800,135,729.0015924
datasheet_10,800,3.7,4.2,800,16,2.5,800,160,726.6534664
datasheet_10,800,3.7,4.2,800,16,2.5,800,175,724.2615716
datasheet_10,800,3.7,4.2,800,16,2.5,800,195,721.312873
datasheet_10,800,3.7,4.2,800,16,2.5,800,225,718.8102162
datasheet_10,800,3.7,4.2,800,16,2.5,800,250,716.2595173
datasheet_10,800,3.7,4.2,800,16,2.5,800,265,713.8486312
datasheet_10,800,3.7,4.2,800,16,2.5,800,285,711.009338
datasheet_10,800,3.7,4.2,800,16,2.5,800,300,708.70221
datasheet_10,800,3.7,4.2,800,16,2.5,800,310,706.8338696
datasheet_10,800,3.7,4.2,800,16,2.5,800,335,703.3709861
datasheet_10,800,3.7,4.2,800,16,2.5,800,355,701.2209232
datasheet_10,800,3.7,4.2,800,16,2.5,800,390,698.3998951
datasheet_10,800,3.7,4.2,800,16,2.5,800,425,695.9396499
datasheet_10,800,3.7,4.2,800,16,2.5,800,455,693.3338423
datasheet_10,800,3.7,4.2,800,16,2.5,800,485,690.8477268
datasheet_11,920,3.7,4.2,920,18,2.5,920,5,898.4580499
datasheet_11,920,3.7,4.2,920,18,2.5,920,10,884.8526077
datasheet_11,920,3.7,4.2,920,18,2.5,920,15,877.0663265
datasheet_11,920,3.7,4.2,920,18,2.5,920,25,870.3741497
datasheet_11,920,3.7,4.2,920,18,2.5,920,35,865.552067
datasheet_11,920,3.7,4.2,920,18,2.5,920,40,863.2008593
datasheet_11,920,3.7,4.2,920,18,2.5,920,80,857.5527722
datasheet_11,920,3.7,4.2,920,18,2.5,920,135,853.3859093
datasheet_11,920,3.7,4.2,920,18,2.5,920,165,849.5064072
datasheet_11,920,3.7,4.2,920,18,2.5,920,200,845.3950811
datasheet_11,920,3.7,4.2,920,18,2.5,920,225,841.468254
datasheet_11,920,3.7,4.2,920,18,2.5,920,260,837.0290157
datasheet_11,920,3.7,4.2,920,18,2.5,920,285,832.9875283
datasheet_11,920,3.7,4.2,920,18,2.5,920,325,828.8077943
datasheet_11,920,3.7,4.2,920,18,2.5,920,360,825.0241187
datasheet_11,920,3.7,4.2,920,18,2.5,920,405,820.6287031
datasheet_11,920,3.7,4.2,920,18,2.5,920,440,816.7218586
datasheet_11,920,3.7,4.2,920,18,2.5,920,485,812.5138671
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,5,1236.647607
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,10,1219.165608
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,15,1207.17122
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,20,1195.981576
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,25,1187.552944
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,30,1182.393583
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,35,1177.685303
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,40,1173.652205
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,45,1170.318151
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,50,1167.072568
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,55,1163.687495
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,60,1160.951398
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,65,1159.401771
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,70,1157.955896
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,75,1154.743195
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,80,1152.384137
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,90,1149.895386
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,100,1147.056165
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,105,1145.16865
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,115,1140.379021
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,125,1137.259955
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,135,1133.766372
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,160,1130.250623
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,170,1128.896654
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,185,1126.717485
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,200,1122.81367
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,210,1120.766624
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,215,1119.770577
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,225,1117.778484
datasheet_31.pdf,1250,3.7,4.2,1250,25,2.75,1250,250,1113.513167
