#PDF_File,c,a,f,f_f,Minimum_Capacity(mAh)_f,a_a,f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),Minimum_Capacity(mAh)_a_Minimum_Capacity(mAh)_a,a_f_a_f,a_f_f,a_Minimum_Capacity(mAh)_f,f_Minimum_Capacity(mAh)_Minimum_Capacity(mAh),f_f_f,f_Minimum_Capacity(mAh)_a,f_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_f,Minimum_Capacity(mAh)_Minimum_Capacity(mAh)_a_f,f_f_Minimum_Capacity(mAh)_a,f_f_Minimum_Capacity(mAh)_f,f_f_a_f,Minimum_Capacity(mAh)_f_a_f
datasheet,0.000211,544.5177816,-3.08e-06,9.49e-12,-0.008624,296499.6144785853,9.49e-12,61465600000000.0,2324556976048.445,2.812714723225e-06,5.167473747384e-09,-4.6959213485184,-24.1472,-2.92292e-17,-4.69592134704,2.656192e-08,7.44016e-05,-67612.16,-13148.5816,1.446892648812e-05,-8.184176e-14,-1.5915821350000003e-14,1.446343976e-05
datasheet_10,0.116018783,55.53045567,-6.29e-22,3.9600000000000015e-43,-5.03e-19,3083.6315069178354,3.9600000000000015e-43,409600000000.0,1973524164.7828095,1.2180099999999998e-39,2.1990060445320002e-41,-2.793181920201001e-17,-4.0256e-16,-2.4908400000000004e-64,-2.794292529566e-17,3.16387e-40,2.5344000000000005e-37,-3.2192e-13,-2.2336e-14,1.7592048357840003e-38,-1.9918800000000005e-61,-1.3820400000000002e-62,1.75547e-38
datasheet_11,0.115752938,52.50179206,-9.04e-22,8.170000000000001e-43,-8.32e-19,2756.438169511479,8.170000000000001e-43,716392960000.0,2333049267.1382117,2.25625e-39,4.2893964113020004e-41,-4.368149099392e-17,-7.651456e-16,-7.385680000000002e-64,-4.3664690424800005e-17,7.52128e-40,6.915088000000001e-37,-7.042048e-13,-4.0204e-14,3.9462446987900007e-38,-6.797440000000001e-61,-3.8807500000000006e-62,3.952e-38
datasheet_12,0.197292276,140.0989947,-2.18e-22,4.75e-44,-3.18e-19,19627.728315950622,4.75e-44,4543718560000.0,41838465693.82574,9.3025e-40,6.654702248249999e-42,-4.45514803146e-17,-4.646888000000001e-16,-1.0355e-65,-4.45907080414e-17,6.932400000000001e-41,1.01251e-37,-6.778488e-13,-6.50138e-14,9.715865284249997e-39,-1.5104999999999999e-62,-1.44875e-63,9.698999999999999e-39
datasheet_13,0.318731609,95.62172215,-1.86e-25,3.46e-50,-2.83e-22,9143.5137469318,3.46e-50,5337948160000.0,21125174170.213318,3.1683999999999994e-46,3.30851158639e-48,-2.7060947368449998e-20,-4.2973439999999995e-19,-6.435600000000001e-75,-2.70341732922e-20,5.2638e-47,7.993983999999999e-44,-6.538432e-16,-4.1125119999999993e-17,5.02893761242e-45,-9.7918e-72,-6.1588e-73,5.0374e-45
datasheet_14,0.260323868,117.8525564,-6.28e-08,3.94e-15,-9.61e-05,13889.22505001518,3.94e-15,5479812810000.0,32513286922.46557,5.4760000000000007e-11,4.64339072216e-13,-0.01132563067004,-0.14700852,-2.4743200000000005e-22,-0.01132374502964,6.035080000000001e-12,9.223146e-09,-224.96049,-17.32266,7.10438780522e-10,-3.78634e-19,-2.9156e-20,7.1114e-10
datasheet_15,0.289671602,155.0247467,-7.13e-22,5.08e-43,-1.18e-18,24032.67208939916,5.08e-43,7593331360000.0,66224431198.22532,1.2321e-38,7.87525713236e-41,-1.82929201106e-16,-1.9647428e-15,-3.62204e-64,-1.8348418968350002e-16,8.413399999999999e-40,1.3998448e-36,-3.251608e-12,-3.058716e-13,1.3072926838599998e-37,-5.994400000000001e-61,-5.6388e-62,1.3098e-37
datasheet_16,0.485778086,108.4791497,-1.06e-20,1.1199999999999999e-40,-1.76e-17,11767.725919635008,1.1199999999999999e-40,7593331360000.0,32427145543.425934,1.3225e-36,1.2149664766399994e-38,-1.90923303472e-15,-2.920936e-14,-1.1871999999999999e-60,-1.9087991180999997e-15,1.8656e-37,3.0862719999999997e-34,-4.8498559999999996e-11,-3.16894e-12,2.0168443512000001e-35,-1.9712e-57,-1.2879999999999998e-58,2.024e-35
datasheet_17,0.349171547,129.0986732,-3.58e-27,1.28e-53,-6.44e-24,16666.4674220004,1.28e-53,10497600000000.0,53999354465.87151,2.13444e-49,1.6524630169600002e-51,-8.31395455408e-22,-1.1599199999999998e-20,-4.5824e-80,-8.31911850244e-22,2.30552e-50,4.1472e-47,-2.08656e-17,-1.4968799999999998e-18,2.97443343104e-48,-8.243200000000001e-77,-5.9136e-78,2.9752799999999994e-48
datasheet_18,0.408479949,181.640941,-1.25e-25,1.56e-50,-2.0900000000000002e-22,32993.43144736548,1.56e-50,7777963210000.0,92015380981.758,5.152899999999999e-46,2.8335986796e-48,-3.7962956669e-20,-3.486125e-19,-1.9499999999999998e-75,-3.79175464375e-20,2.6125000000000003e-47,4.3506840000000005e-44,-5.828801e-16,-6.330802999999997e-17,4.7321097954e-45,-3.2604e-72,-3.541199999999999e-73,4.7443e-45
