#PDF_File,f,Discharge_Current,a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_a,Discharge_Current_Discharge_Current,a_a,Discharge_Current_Discharge_Current_Discharge_Current_Discharge_Current,a_a_a_a,Discharge_Current_a_Discharge_Current_a,Discharge_Current_a,Discharge_Current_Discharge_Current_Discharge_Current,Discharge_Current_a_a,Discharge_Current_Discharge_Current_a,a_Discharge_Current_Discharge_Current,a_a_a,a_Discharge_Current_a,Discharge_Current_Discharge_Current_a_a,Discharge_Current_Discharge_Current_Discharge_Current_a,a_a_Discharge_Current_a
datasheet,-3.08e-06,1.0,544.5177816,1.0,296499.6144785853,544.5177816,1.0,296499.6144785853,1.0,87912021385.94972,296499.6144785853,544.5177816,1.0,296499.6144785853,544.5177816,544.5177816,161449312.32113454,296499.6144785853,296499.6144785853,544.5177816,161449312.32113454
datasheet_10,-6.29e-22,1.0,55.53045567,1.0,3083.6315069178354,55.53045567,1.0,3083.6315069178354,1.0,9508783.27045636,3083.6315069178354,55.53045567,1.0,3083.6315069178354,55.53045567,55.53045567,171235.46269751617,3083.6315069178354,3083.6315069178354,55.53045567,171235.46269751617
datasheet_11,-9.04e-22,1.0,52.50179206,1.0,2756.438169511479,52.50179206,1.0,2756.438169511479,1.0,7597951.382339792,2756.438169511479,52.50179206,1.0,2756.438169511479,52.50179206,52.50179206,144717.9436019387,2756.438169511479,2756.438169511479,52.50179206,144717.9436019387
datasheet_12,-2.18e-22,1.0,140.0989947,1.0,19627.728315950626,140.0989947,1.0,19627.728315950626,1.0,385247718.84477,19627.728315950626,140.0989947,1.0,19627.728315950626,140.0989947,140.0989947,2749825.0053094067,19627.728315950626,19627.728315950626,140.0989947,2749825.0053094067
datasheet_13,-1.86e-25,1.0,95.62172215,1.0,9143.5137469318,95.62172215,1.0,9143.5137469318,1.0,83603843.6403308,9143.5137469318,95.62172215,1.0,9143.5137469318,95.62172215,95.62172215,874318.5309838179,9143.5137469318,9143.5137469318,95.62172215,874318.5309838179
datasheet_14,-6.28e-08,1.0,117.8525564,1.0,13889.22505001518,117.8525564,1.0,13889.22505001518,1.0,192910572.4899692,13889.22505001518,117.8525564,1.0,13889.22505001518,117.8525564,117.8525564,1636880.678559207,13889.22505001518,13889.22505001518,117.8525564,1636880.678559207
datasheet_15,-7.13e-22,1.0,155.0247467,1.0,24032.672089399162,155.0247467,1.0,24032.672089399162,1.0,577569327.7565855,24032.672089399162,155.0247467,1.0,24032.672089399162,155.0247467,155.0247467,3725658.903183265,24032.672089399162,24032.672089399162,155.0247467,3725658.903183265
datasheet_16,-1.06e-20,1.0,108.4791497,1.0,11767.725919635008,108.4791497,1.0,11767.725919635008,1.0,138479373.31964958,11767.725919635008,108.4791497,1.0,11767.725919635008,108.4791497,108.4791497,1276552.9016646561,11767.725919635008,11767.725919635008,108.4791497,1276552.9016646561
datasheet_17,-3.58e-27,1.0,129.0986732,1.0,16666.4674220004,129.0986732,1.0,16666.4674220004,1.0,277771136.3286007,16666.4674220004,129.0986732,1.0,16666.4674220004,129.0986732,129.0986732,2151618.8311112765,16666.4674220004,16666.4674220004,129.0986732,2151618.8311112765
datasheet_18,-1.25e-25,1.0,181.640941,1.0,32993.43144736548,181.640941,1.0,32993.43144736548,1.0,1088566518.6720054,32993.43144736548,181.640941,1.0,32993.43144736548,181.640941,181.640941,5992957.934918458,32993.43144736548,32993.43144736548,181.640941,5992957.934918458
