#LB_label,ChargeTransfer,MW,AMW,Mv,Me,Mp,Ms,nAT,nSK,nBT,nBO,nBM,SCBO,ARR,nCIC,nCIR,RBN,RBF,nDB,nAB,nH,nC,nN,nO,nS,nF,nCL,nX,nR05,nR06,nR08,nR09,nR10,nR12,nBnz,nCp,nCs,nCt,nCq,nCrt,nCar,nCbH,nCb-,nCconj,nR=Cp,nR=Cs,nR=Ct,nRCONHR,nRCONR2,nROCON,nRCO,nArCO,nCONN,nRNH2,nArNH2,nRNHR,nArNHR,nRNR2,nArNR2,nRCN,nN(CO)2,nRSR,nArX,nCXr=,nCconjX,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,nHAcc,C-001,C-002,C-005,C-006,C-008,C-016,C-018,C-019,C-020,C-024,C-025,C-026,C-027,C-028,C-033,C-034,C-035,C-040,C-041,H-046,H-047,H-048,H-049,H-051,H-052,N-072,N-075,F-084,F-085,S-107,S-108,Ui,Hy,AMR,TPSA(NO),TPSA(Tot),MLOGP,ALOGP
1,-0.23782,124.16,7.3,0.61,1.01,0.63,3.04,17,9,16,8,3,12,0,0,0,1,0.063,2,0,8,6,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,4,0,0,0,0,1,0,0,0,0,0,2,-0.001,34.737,52.89,52.89,-0.073,0.313
2,-0.14992,181.23,9.54,0.68,1.03,0.73,2.68,19,12,20,13,7,17.5,0.385,2,3,0,0,2,5,7,8,1,2,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,2,0,3,3,1,0,0,0,1,0,0,0,1,0,3,-0.646,47.091,39.07,67.31,1.074,1.302
3,0.00218,184.24,9.21,0.64,1.03,0.69,2.94,20,12,20,12,4,16,0,1,1,0,0,4,0,8,7,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,8,0,0,0,0,2,0,0,0,0,1,2.322,-0.565,48.137,44,76.09,0.606,0.741
4,-0.21876,196.28,6.54,0.57,1,0.61,2.48,30,14,31,15,2,17,0,2,3,0,0,2,0,16,10,2,2,0,0,0,0,2,0,1,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,2,6,2,0,0,0,0,0,1.585,-0.696,51.78,40.62,40.62,0.538,-0.576
5,-0.23164,207.28,9.01,0.67,1.02,0.71,2.89,23,14,23,14,4,20,0,1,1,2,0.087,2,0,9,9,3,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,1,0,1,0,1,0,0,0,1,0,2.322,-0.626,53.673,67.89,93.19,-0.359,0.772
6,0.001,143.18,10.23,0.66,1.04,0.72,3.09,14,9,14,9,3,12,0,1,1,0,0,3,0,5,5,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,1,0,2,-0.53,35.349,39.07,67.31,0.1,0.714
7,0.00168,159.25,11.38,0.71,1.02,0.81,2.72,14,9,14,9,3,12,0,1,1,0,0,3,0,5,5,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,0,0,0,1,1,2,-0.53,43.34,22,82.33,0.529,1.613
8,-0.2868,137.18,11.43,0.76,1.03,0.81,2.24,12,9,13,10,10,15,1,2,3,0,0,0,10,3,5,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,1,0,3.459,-0.53,36.421,38.67,66.91,-0.527,0.807
9,-0.26482,294.42,9.81,0.75,1,0.81,1.98,30,20,33,23,21,33.5,0.913,4,5,2,0.061,0,21,10,16,2,0,2,0,0,0,2,2,0,0,1,0,1,0,0,0,0,0,16,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,4,2,2,0,0,0,0,8,2,0,0,0,0,2,0,0,2,0,4.459,-0.787,84.647,25.78,82.26,3.466,5.095
10,-0.26152,136.19,10.48,0.74,1.01,0.8,2.13,13,9,14,10,10,15,1,2,3,0,0,0,10,4,6,2,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,1,0,3.459,-0.636,38.578,25.78,54.02,1.079,1.958
