#LB_label,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,N*-CO,N*-CS,R-S-R,R--S--R,nN(CO)2,C-041,nH
1,-0.23782,1,0,0,0,1,0,0,0,0,0,0,0,0,8
2,-0.14992,0,1,0,0,0,0,0,2,0,0,1,1,0,7
3,0.00218,0,2,0,0,0,0,0,1,1,0,0,2,1,8
4,-0.21876,0,2,0,0,0,0,0,1,0,0,0,0,0,16
5,-0.23164,2,1,0,0,0,0,0,0,0,1,0,0,0,9
6,0.001,0,1,0,0,0,0,0,2,0,1,0,1,1,5
7,0.00168,0,1,0,0,0,0,0,1,1,1,0,1,1,5
8,-0.2868,0,0,3,0,0,0,0,0,0,0,1,0,0,3
9,-0.26482,0,0,2,0,0,0,0,0,0,2,0,0,0,10
10,-0.26152,0,0,2,0,0,0,0,0,0,0,1,0,0,4
11,-0.2646,0,0,2,0,0,0,0,0,0,0,1,0,0,3
12,-0.26272,0,0,2,0,0,0,0,0,0,0,1,0,0,2
13,-0.26378,0,0,4,0,0,0,0,0,0,0,2,0,0,2
14,-0.26332,0,0,4,0,0,0,0,0,0,0,2,0,0,4
15,-0.2986,0,0,1,0,0,0,0,0,0,0,0,0,0,5
16,-0.27132,0,0,1,0,0,0,0,0,0,0,0,0,0,4
17,-0.30354,0,0,1,0,0,0,0,0,0,0,0,0,0,7
18,-0.30406,0,0,0,0,0,0,1,0,0,0,0,0,0,3
19,-0.31126,0,0,0,0,0,1,0,0,0,0,0,0,0,5
20,-0.3051,0,0,0,0,1,0,0,0,0,0,0,0,0,7
21,-0.2895,0,1,0,0,0,0,0,0,0,0,0,0,0,9
22,-0.05116,1,0,0,0,0,0,0,0,0,0,0,0,0,1
23,-0.20008,1,0,0,0,0,0,0,0,0,0,0,0,0,3
24,-0.27408,0,0,3,0,0,0,0,0,0,0,0,0,0,3
25,-0.28486,0,0,0,0,0,1,0,0,0,0,0,0,0,7
26,-0.27186,0,0,0,0,0,1,0,0,0,0,0,0,0,5
27,-0.28852,0,0,0,0,0,1,0,0,0,0,0,0,0,11
28,-0.28844,0,0,2,0,0,0,0,0,0,0,0,0,0,6
29,-0.29434,0,0,2,0,0,0,0,0,0,0,0,0,0,10
30,-0.28338,0,0,2,0,0,0,0,0,0,0,0,0,0,4
31,-0.00152,0,0,0,0,1,0,0,2,0,1,0,1,0,11
32,-0.00182,0,1,0,0,1,0,0,1,1,0,0,2,1,8
33,-0.00266,0,0,0,0,1,0,0,2,0,1,0,1,1,3
34,-0.0035,0,0,0,0,1,0,0,0,1,1,0,0,1,3
35,-0.2929,0,1,0,0,0,0,0,0,0,0,0,0,0,11
36,-0.2915,0,1,0,0,0,0,0,0,0,0,0,0,0,15
37,-0.28658,0,1,0,0,0,0,0,0,0,0,0,0,0,13
38,-0.28988,0,1,0,0,0,0,0,0,0,0,0,0,0,17
39,-0.2695,0,0,0,2,0,0,0,0,0,2,0,0,0,6
40,-0.27276,0,0,0,2,0,0,0,0,0,3,0,0,0,12
41,-0.26512,0,0,0,2,0,0,0,0,0,2,0,0,0,5
42,-0.26878,0,0,0,2,0,0,0,0,0,3,0,0,0,11
43,-0.26434,0,0,0,2,0,0,0,0,0,2,0,0,0,4
44,-0.268,0,0,0,2,0,0,0,0,0,3,0,0,0,10
45,-0.18884,0,0,0,0,1,0,0,0,0,0,0,0,0,5
46,-0.1981,0,1,0,0,0,0,0,0,0,0,0,0,0,7
47,-0.26432,0,0,0,0,1,0,0,0,0,0,0,0,0,7
48,-0.258,0,0,0,0,1,0,0,0,0,0,0,0,0,9
49,-0.2296,0,0,0,0,1,0,0,0,0,0,0,0,0,9
50,-0.01534,0,0,0,0,1,0,0,0,0,0,0,0,0,3
51,-0.22918,0,1,0,0,0,0,0,0,0,0,0,0,0,11
53,-0.26738,0,0,0,0,1,0,0,0,0,0,0,0,0,11
54,-0.19046,0,0,0,0,1,0,0,0,0,0,0,0,0,5
55,-0.25744,0,1,0,0,0,0,0,0,0,0,0,0,0,13
56,-0.21246,0,1,0,0,0,0,0,0,0,0,0,0,0,7
57,-0.15674,2,0,0,0,0,0,0,0,0,0,0,0,0,4
58,-0.19036,2,0,0,0,0,0,0,0,0,0,0,0,0,6
59,-0.1214,2,0,0,0,0,0,0,0,0,0,0,0,0,3
60,-0.12222,2,0,0,0,0,0,0,0,0,0,0,0,0,2
61,-0.14576,2,0,0,0,0,0,0,0,0,0,0,0,0,2
62,-0.20934,2,0,0,0,0,0,0,0,0,1,0,0,0,4
63,-0.20514,2,0,0,0,0,0,0,0,0,0,0,0,0,6
64,-0.21342,2,0,0,0,0,0,0,0,0,0,0,0,0,8
65,-0.20368,2,0,0,0,0,0,0,0,0,0,0,0,0,5
66,-0.18604,2,0,0,0,0,0,0,0,0,0,0,0,0,4
67,-0.18572,2,0,0,0,0,0,0,0,0,0,0,0,0,4
68,-0.21148,0,0,0,0,1,0,0,1,0,0,0,0,0,7
69,-0.20746,0,1,0,0,0,0,0,1,0,0,0,0,0,9
70,-0.20068,0,0,0,0,1,0,0,1,0,0,0,0,0,6
71,-0.19852,0,1,0,0,0,0,0,1,0,0,0,0,0,8
72,-0.20256,0,0,0,0,1,0,0,1,0,0,0,0,0,5
73,-0.20066,0,1,0,0,0,0,0,1,0,0,0,0,0,7
