#LB_label,#LA_label,#ID,ChargeTransfer,N#R,R-N(-R)-R,R--N--R,R-N=R,R-NH-R,NH2-R,NH3,O=R,S=R,R-S-R,R--S--R,nN(CO)2,C-041,nH,la_MW,la_AMW,la_Mv,la_Me,la_Mp,la_Ms,la_nAT,la_nSK,la_nBT,la_nBO,la_nBM,la_SCBO,la_ARR,la_RBF,la_nAB,la_nH,la_nC,la_nF,la_nCL,la_nB,la_nHM,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_Hy,la_MLOGP,la_LAI
1,1,C6H8N2O:AlCl3,-0.14156,1,0,0,0,1,0,0,1,0,0,0,0,0,8,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
1,2,C6H8N2O:AlH3,-0.12866,1,0,0,0,1,0,0,1,0,0,0,0,0,8,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
1,3,C6H8N2O:C18F15Al,-0.11996,1,0,0,0,1,0,0,1,0,0,0,0,0,8,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
1,4,C6H8N2O:C3H9Al,-0.1018,1,0,0,0,1,0,0,1,0,0,0,0,0,8,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
1,5,C6H8N2O:C2H5AlCl2,-0.12956,1,0,0,0,1,0,0,1,0,0,0,0,0,8,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
1,6,C6H8N2O:BH3,-0.3048,1,0,0,0,1,0,0,1,0,0,0,0,0,8,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
1,7,C6H8N2O:BF3,-0.23782,1,0,0,0,1,0,0,1,0,0,0,0,0,8,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
1,8,C6H8N2O:BCl3,-0.28648,1,0,0,0,1,0,0,1,0,0,0,0,0,8,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
1,9,C6H8N2O:BBr3,-0.26954,1,0,0,0,1,0,0,1,0,0,0,0,0,8,250.51,62.63,1.24,1.09,1.73,2.4,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.026,0
1,10,C6H8N2O:C18BF15,-0.29654,1,0,0,0,1,0,0,1,0,0,0,0,0,8,511.99,15.06,0.73,1.2,0.72,4.45,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,1,0,15,3,15,18,0,15,4.248,-0.525,7.875,1
1,11,C6H8N2O:BI3,-0.23184,1,0,0,0,1,0,0,1,0,0,0,0,0,8,391.51,97.88,1.49,0.97,2.71,1.92,4,4,3,3,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,2.604,0
2,1,C8H7NO2S:AlCl3,-0.12384,0,1,0,0,0,0,0,2,0,0,1,1,0,7,133.33,33.33,1.16,1.1,1.89,3.28,4,4,3,3,0,3,0,0,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,1.364,0
2,2,C8H7NO2S:AlH3,-0.07844,0,1,0,0,0,0,0,2,0,0,1,1,0,7,30.01,7.5,0.63,0.86,1.25,2,4,1,3,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,3,0,0,0,-1.041,0
2,3,C8H7NO2S:C18F15Al,-0.12638,0,1,0,0,0,0,0,2,0,0,1,1,0,7,528.16,15.53,0.76,1.19,0.78,4.43,34,34,36,36,18,45,0.5,0.083,18,0,18,15,0,0,1,15,3,15,15,0,15,4.248,-0.525,7.875,1
2,4,C8H7NO2S:C3H9Al,-0.07512,0,1,0,0,0,0,0,2,0,0,1,1,0,7,72.1,5.55,0.56,0.93,0.79,1.69,13,4,12,3,0,3,0,0,0,9,3,0,0,0,1,0,0,0,0,0,0,0,-0.646,1.364,0
2,5,C8H7NO2S:C2H5AlCl2,-0.11008,0,1,0,0,0,0,0,2,0,0,1,1,0,7,126.95,12.7,0.71,0.99,1.02,2.5,10,5,9,4,0,4,0,0,0,5,2,0,2,0,1,2,0,0,0,0,0,0,-0.359,1.817,0
2,6,C8H7NO2S:BH3,-0.26422,0,1,0,0,0,0,0,2,0,0,1,1,0,7,13.84,3.46,0.42,0.91,0.72,2,4,1,3,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,3,0,0,0,-1.041,0
2,7,C8H7NO2S:BF3,-0.14992,0,1,0,0,0,0,0,2,0,0,1,1,0,7,67.81,16.95,0.51,1.3,0.67,6.33,4,4,3,3,0,3,0,0,0,0,0,3,0,1,0,3,0,3,0,0,0,0,0,0.546,0
2,8,C8H7NO2S:BCl3,-0.25678,0,1,0,0,0,0,0,2,0,0,1,1,0,7,117.16,29.29,0.95,1.16,1.36,3.42,4,4,3,3,0,3,0,0,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,1.364,0
