#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet_10,800,3.7,4.2,800,2.75,800,0.852272727,797.9539642
datasheet_10,800,3.7,4.2,800,2.75,800,1.704545455,792.8388747
datasheet_10,800,3.7,4.2,800,2.75,800,2.556818182,790.2813299
datasheet_10,800,3.7,4.2,800,2.75,800,3.409090909,787.7237852
datasheet_10,800,3.7,4.2,800,2.75,800,4.6875,785.1662404
datasheet_10,800,3.7,4.2,800,2.75,800,5.965909091,782.6086957
datasheet_10,800,3.7,4.2,800,2.75,800,7.244318182,780.0511509
datasheet_10,800,3.7,4.2,800,2.75,800,8.522727273,777.4936061
datasheet_10,800,3.7,4.2,800,2.75,800,9.801136364,774.9360614
datasheet_10,800,3.7,4.2,800,2.75,800,11.50568182,772.3785166
datasheet_10,800,3.7,4.2,800,2.75,800,13.21022727,769.8209719
datasheet_10,800,3.7,4.2,800,2.75,800,14.91477273,767.2634271
datasheet_10,800,3.7,4.2,800,2.75,800,17.04545455,764.7058824
datasheet_10,800,3.7,4.2,800,2.75,800,20.02840909,762.1483376
datasheet_10,800,3.7,4.2,800,2.75,800,22.58522727,759.5907928
datasheet_10,800,3.7,4.2,800,2.75,800,25.14204545,757.0332481
datasheet_10,800,3.7,4.2,800,2.75,800,29.82954545,754.4757033
datasheet_10,800,3.7,4.2,800,2.75,800,34.51704545,751.9181586
datasheet_10,800,3.7,4.2,800,2.75,800,38.35227273,749.3606138
datasheet_10,800,3.7,4.2,800,2.75,800,43.46590909,746.8030691
datasheet_10,800,3.7,4.2,800,2.75,800,48.57954545,744.2455243
datasheet_10,800,3.7,4.2,800,2.75,800,57.10227273,741.6879795
datasheet_10,800,3.7,4.2,800,2.75,800,64.34659091,739.1304348
datasheet_10,800,3.7,4.2,800,2.75,800,68.60795455,736.57289
datasheet_10,800,3.7,4.2,800,2.75,800,77.98295455,734.0153453
datasheet_10,800,3.7,4.2,800,2.75,800,91.61931818,731.4578005
datasheet_10,800,3.7,4.2,800,2.75,800,136.7897727,728.9002558
datasheet_10,800,3.7,4.2,800,2.75,800,163.2102273,726.342711
datasheet_10,800,3.7,4.2,800,2.75,800,177.6988636,723.7851662
datasheet_10,800,3.7,4.2,800,2.75,800,195.5965909,721.2276215
datasheet_10,800,3.7,4.2,800,2.75,800,226.7045455,718.6700767
datasheet_10,800,3.7,4.2,800,2.75,800,251.4204545,716.112532
datasheet_10,800,3.7,4.2,800,2.75,800,266.7613636,713.5549872
datasheet_10,800,3.7,4.2,800,2.75,800,285.0852273,710.9974425
datasheet_10,800,3.7,4.2,800,2.75,800,301.7045455,708.4398977
