#PDF_File,Minimum_Capacity(mAh),Nomial_Voltage(V),Charge_Voltage(V),Charge_Current(mAh),Dicharge_Voltage(V),Discharge_Current,Cycle,Remaining_Capacity(mAh)
datasheet,2800,3.6,4.2,1925,2.5,2750,4.830053667,2790.311419
datasheet,2800,3.6,4.2,1925,2.5,2750,9.123434705,2779.238754
datasheet,2800,3.6,4.2,1925,2.5,2750,13.14847943,2768.16609
datasheet,2800,3.6,4.2,1925,2.5,2750,17.17352415,2757.093426
datasheet,2800,3.6,4.2,1925,2.5,2750,21.19856887,2746.020761
datasheet,2800,3.6,4.2,1925,2.5,2750,25.2236136,2734.948097
datasheet,2800,3.6,4.2,1925,2.5,2750,28.980322,2723.875433
datasheet,2800,3.6,4.2,1925,2.5,2750,33.00536673,2712.802768
datasheet,2800,3.6,4.2,1925,2.5,2750,37.03041145,2701.730104
datasheet,2800,3.6,4.2,1925,2.5,2750,41.05545617,2690.657439
datasheet,2800,3.6,4.2,1925,2.5,2750,45.61717352,2679.584775
datasheet,2800,3.6,4.2,1925,2.5,2750,50.44722719,2668.512111
datasheet,2800,3.6,4.2,1925,2.5,2750,55.27728086,2657.439446
datasheet,2800,3.6,4.2,1925,2.5,2750,60.10733453,2646.366782
datasheet,2800,3.6,4.2,1925,2.5,2750,64.93738819,2635.294118
datasheet,2800,3.6,4.2,1925,2.5,2750,69.76744186,2624.221453
datasheet,2800,3.6,4.2,1925,2.5,2750,74.32915921,2613.148789
datasheet,2800,3.6,4.2,1925,2.5,2750,78.89087657,2602.076125
datasheet,2800,3.6,4.2,1925,2.5,2750,83.72093023,2591.00346
datasheet,2800,3.6,4.2,1925,2.5,2750,88.28264758,2579.930796
datasheet,2800,3.6,4.2,1925,2.5,2750,92.84436494,2568.858131
datasheet,2800,3.6,4.2,1925,2.5,2750,97.40608229,2557.785467
datasheet,2800,3.6,4.2,1925,2.5,2750,101.9677996,2546.712803
datasheet,2800,3.6,4.2,1925,2.5,2750,106.7978533,2535.640138
datasheet,2800,3.6,4.2,1925,2.5,2750,114.0429338,2524.567474
datasheet,2800,3.6,4.2,1925,2.5,2750,123.7030411,2513.49481
datasheet,2800,3.6,4.2,1925,2.5,2750,133.6314848,2502.422145
datasheet,2800,3.6,4.2,1925,2.5,2750,143.5599284,2491.349481
datasheet,2800,3.6,4.2,1925,2.5,2750,152.1466905,2480.276817
datasheet,2800,3.6,4.2,1925,2.5,2750,159.391771,2469.204152
datasheet,2800,3.6,4.2,1925,2.5,2750,166.1001789,2458.131488
datasheet,2800,3.6,4.2,1925,2.5,2750,172.8085868,2447.058824
datasheet,2800,3.6,4.2,1925,2.5,2750,179.5169946,2435.986159
datasheet,2800,3.6,4.2,1925,2.5,2750,186.2254025,2424.913495
datasheet,2800,3.6,4.2,1925,2.5,2750,194.0071556,2413.84083
datasheet,2800,3.6,4.2,1925,2.5,2750,202.862254,2402.768166
datasheet,2800,3.6,4.2,1925,2.5,2750,211.9856887,2391.695502
datasheet,2800,3.6,4.2,1925,2.5,2750,221.1091234,2380.622837
datasheet,2800,3.6,4.2,1925,2.5,2750,229.6958855,2369.550173
datasheet,2800,3.6,4.2,1925,2.5,2750,238.0143113,2358.477509
datasheet,2800,3.6,4.2,1925,2.5,2750,246.6010733,2347.404844
datasheet,2800,3.6,4.2,1925,2.5,2750,254.9194991,2336.33218
datasheet,2800,3.6,4.2,1925,2.5,2750,262.9695886,2325.259516
datasheet,2800,3.6,4.2,1925,2.5,2750,271.019678,2314.186851
datasheet,2800,3.6,4.2,1925,2.5,2750,278.5330948,2303.114187
datasheet,2800,3.6,4.2,1925,2.5,2750,285.2415027,2292.041522
datasheet,2800,3.6,4.2,1925,2.5,2750,291.4132379,2280.968858
datasheet,2800,3.6,4.2,1925,2.5,2750,295.4382826,2269.896194
datasheet_13,1520,3.8,4.35,1520,3,1520,2.739726027,1497.942387
datasheet_13,1520,3.8,4.35,1520,3,1520,4.109589041,1490.740741
datasheet_13,1520,3.8,4.35,1520,3,1520,6.849315068,1476.337449
datasheet_13,1520,3.8,4.35,1520,3,1520,8.904109589,1469.135802
datasheet_13,1520,3.8,4.35,1520,3,1520,11.64383562,1461.934156
datasheet_13,1520,3.8,4.35,1520,3,1520,15.06849315,1454.73251
datasheet_13,1520,3.8,4.35,1520,3,1520,19.17808219,1447.530864
datasheet_13,1520,3.8,4.35,1520,3,1520,23.97260274,1440.329218
datasheet_13,1520,3.8,4.35,1520,3,1520,28.08219178,1433.127572
datasheet_13,1520,3.8,4.35,1520,3,1520,35.61643836,1425.925926
datasheet_13,1520,3.8,4.35,1520,3,1520,43.83561644,1418.72428
datasheet_13,1520,3.8,4.35,1520,3,1520,51.36986301,1411.522634
datasheet_13,1520,3.8,4.35,1520,3,1520,69.8630137,1404.320988
datasheet_13,1520,3.8,4.35,1520,3,1520,89.04109589,1397.119342
datasheet_13,1520,3.8,4.35,1520,3,1520,106.8493151,1389.917695
datasheet_13,1520,3.8,4.35,1520,3,1520,128.0821918,1382.716049
datasheet_13,1520,3.8,4.35,1520,3,1520,148.630137,1375.514403
datasheet_13,1520,3.8,4.35,1520,3,1520,165.0684932,1368.312757
datasheet_13,1520,3.8,4.35,1520,3,1520,183.5616438,1361.111111
datasheet_13,1520,3.8,4.35,1520,3,1520,206.1643836,1353.909465
datasheet_13,1520,3.8,4.35,1520,3,1520,226.0273973,1346.707819
datasheet_13,1520,3.8,4.35,1520,3,1520,260.9589041,1339.506173
datasheet_13,1520,3.8,4.35,1520,3,1520,294.5205479,1332.304527
datasheet_13,1520,3.8,4.35,1520,3,1520,315.0684932,1325.102881
datasheet_13,1520,3.8,4.35,1520,3,1520,337.6712329,1317.901235
datasheet_13,1520,3.8,4.35,1520,3,1520,361.6438356,1310.699588
datasheet_13,1520,3.8,4.35,1520,3,1520,380.8219178,1303.497942
datasheet_13,1520,3.8,4.35,1520,3,1520,404.7945205,1296.296296
datasheet_13,1520,3.8,4.35,1520,3,1520,428.7671233,1289.09465
datasheet_13,1520,3.8,4.35,1520,3,1520,448.630137,1281.893004
datasheet_13,1520,3.8,4.35,1520,3,1520,471.2328767,1274.691358
datasheet_13,1520,3.8,4.35,1520,3,1520,494.5205479,1267.489712
datasheet_14,1530,3.7,4.2,1530,2.75,1530,2.819548872,1526.094276
datasheet_14,1530,3.7,4.2,1530,2.75,1530,4.511278195,1520.20202
datasheet_14,1530,3.7,4.2,1530,2.75,1530,5.639097744,1514.309764
datasheet_14,1530,3.7,4.2,1530,2.75,1530,7.330827068,1508.417508
datasheet_14,1530,3.7,4.2,1530,2.75,1530,9.022556391,1502.525253
datasheet_14,1530,3.7,4.2,1530,2.75,1530,10.15037594,1496.632997
datasheet_14,1530,3.7,4.2,1530,2.75,1530,11.84210526,1490.740741
datasheet_14,1530,3.7,4.2,1530,2.75,1530,14.09774436,1484.848485
datasheet_14,1530,3.7,4.2,1530,2.75,1530,15.78947368,1478.956229
datasheet_14,1530,3.7,4.2,1530,2.75,1530,17.48120301,1473.063973
datasheet_14,1530,3.7,4.2,1530,2.75,1530,19.73684211,1467.171717
datasheet_14,1530,3.7,4.2,1530,2.75,1530,21.9924812,1461.279461
datasheet_14,1530,3.7,4.2,1530,2.75,1530,24.81203008,1455.387205
datasheet_14,1530,3.7,4.2,1530,2.75,1530,28.7593985,1449.494949
