#SMILES,BF3_Affinity,nBase,nAromAtom,nAromBond,nAtom,nHeavyAtom,nBridgehead,nH,nC,nN,nO,nS,nP,nF,nCl,nBr,nI,nX,nBonds,nBondsO,nBondsS,nBondsD,nBondsT,nBondsA,nBondsM,nBondsKS,nBondsKD,C1SP1,C2SP1,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,C4SP3,HybRatio,SZ,Sm,Sv,Sse,Spe,Sare,Sp,Si,MZ,Mm,Mv,Mse,Mpe,Mare,Mp,Mi,fragCpx,fMF,nHBAcc,nHBDon,apol,bpol,nRing,n3Ring,n4Ring,n5Ring,n6Ring,n7Ring,nHRing,n5HRing,n6HRing,n7HRing,naRing,n5aRing,n6aRing,naHRing,n5aHRing,n6aHRing,nARing,n3ARing,n4ARing,n5ARing,n6ARing,n7ARing,nAHRing,n5AHRing,n6AHRing,n7AHRing,nFRing,n7FRing,n8FRing,n9FRing,n10FRing,n11FRing,nG12FRing,nFHRing,n8FHRing,n11FHRing,nFARing,n7FARing,n8FARing,n9FARing,n10FARing,n11FARing,nG12FARing,nFAHRing,n8FAHRing,n11FAHRing,nRot,RotRatio,SLogP,SMR,Vabc,MW,AMW
CN(C)C1=CC=C(C=C1)[N+](=O)[O-],78.13,0,6,6,22,12,0,10,8,2,2,0,0,0,0,0,0,0,22,12,15,1,0,6,7,18,4,0,0,0,6,0,0,0,0,0,0.25,14.66666667,13.83565065,13.65466436,22.42680262,21.70980392,22.056,14.27061677,25.07669689,0.666666667,0.628893212,0.620666562,1.019400119,0.986809269,1.002545455,0.648664398,1.139849859,12.04,0.272727273,3,0,23.83193,12.90807,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.166666667,1.6608,47.4234,152.6960211,166.0742276,7.548828525
CN(C)C1=CC=C(C=C1)C#N,87.12,0,6,6,21,11,0,10,9,2,0,0,0,0,0,0,0,0,21,11,14,0,1,6,7,17,3,1,0,0,5,1,0,0,0,0,0.25,13,12.17159271,13.22506615,20.76547706,20.01176471,20.256,14.31013772,23.65792474,0.619047619,0.579599653,0.629765055,0.988832241,0.952941176,0.964571429,0.68143513,1.126567845,11.02,0.285714286,2,0,23.89793,12.31207,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.090909091,1.62428,45.484,149.7750935,146.0843983,6.95639992
CCOC(=O)c1ccc(cc1)N(C)C,92.32,0,6,6,29,14,0,15,11,1,2,0,0,0,0,0,0,0,29,14,22,1,0,6,7,25,4,0,0,1,5,1,2,0,0,0,0.363636364,17.33333333,16.08908501,17.2512703,28.98324836,27.83137255,28.228,18.60832036,32.82418275,0.597701149,0.554796035,0.59487139,0.999422357,0.959702502,0.97337931,0.641666219,1.131868371,14.03,0.206896552,3,0,31.075895,19.362105,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.214285714,1.9293,56.7255,193.5872162,193.1102787,6.658975128
CN(C)C1=CC=CC=C1,109.16,0,6,6,20,9,0,11,8,1,0,0,0,0,0,0,0,0,20,9,14,0,0,6,6,17,3,0,0,0,6,0,0,0,0,0,0.25,11,10.08933478,11.73801649,19.54624909,18.68235294,18.908,13.05073234,22.57483131,0.55,0.504466739,0.586900824,0.977312454,0.934117647,0.9454,0.652536617,1.128741566,9.01,0.3,1,0,21.794723,12.745277,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111,1.7526,40.769,126.7552655,121.0891494,6.054457468
CC1=CC=C(C=C1)N(C)C,111.17,0,6,6,23,10,0,13,9,1,0,0,0,0,0,0,0,0,23,10,17,0,0,6,6,20,3,0,0,0,5,1,1,0,0,0,0.333333333,12.33333333,11.25718092,13.27984429,22.43408594,21.40784314,21.668,14.84928683,25.99012096,0.536231884,0.489442649,0.577384534,0.975395041,0.930775789,0.942086957,0.645621166,1.130005259,10.01,0.260869565,1,0,24.798309,14.751691,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,2.06102,45.506,144.0512508,135.1047994,5.874121714
CCN(CC)CC,135.87,1,0,0,22,7,0,15,6,1,0,0,0,0,0,0,0,0,21,6,21,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,1,9.666666667,8.425027059,10.82167209,21.3219228,20.13333333,20.428,12.64784132,25.4054106,0.439393939,0.382955775,0.491894186,0.969178309,0.915151515,0.928545455,0.574901878,1.154791391,6.01,0,1,0,21.121895,16.758105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5,1.3481,33.462,123.3291309,101.1204495,4.596384067
CN(C)C1CCCCC1,137.85,1,0,0,26,9,0,17,8,1,0,0,0,0,0,0,0,0,26,9,26,0,0,0,0,26,0,0,0,0,0,0,0,6,0,0,1,12,10.5928732,13.3634999,25.20975965,23.85882353,24.188,15.44639581,29.82070025,0.461538462,0.4074182,0.513980765,0.96960614,0.917647059,0.930307692,0.594092146,1.14695001,9.01,0.230769231,1,0,25.795481,18.764519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.111111111,1.8807,40.56,145.5646424,127.1360995,4.889849982
CN1CCCC1,139.51,1,0,0,17,6,0,11,5,1,0,0,0,0,0,0,0,0,17,6,17,0,0,0,0,17,0,0,0,0,0,0,2,2,0,0,1,8,7.089334776,8.738016487,16.54624909,15.68235294,15.908,10.05073234,19.57483131,0.470588235,0.417019693,0.51400097,0.97330877,0.922491349,0.935764706,0.591219549,1.151460665,6.01,0.294117647,1,0,16.784723,12.745277,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.712,26.731,93.67668672,85.08914935,5.00524408
CN(C)C,139.53,1,0,0,13,4,0,9,3,1,0,0,0,0,0,0,0,0,12,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,5.666666667,4.921488635,6.196188683,12.65841224,11.95686275,12.148,7.252177844,15.15954166,0.435897436,0.378576049,0.476629899,0.973724018,0.919758673,0.934461538,0.557859834,1.16611859,3.01,0,1,0,12.111137,10.738863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1778,19.611,71.44117522,59.07349929,4.54411533
C1CN2CCN1CC2,142.76,2,0,0,20,8,2,12,6,2,0,0,0,0,0,0,0,0,21,9,21,0,0,0,0,21,0,0,0,0,0,0,6,0,0,0,1,10.33333333,9.339438848,10.76689395,19.65331391,18.7372549,19.016,12.10869222,23.07321439,0.516666667,0.466971942,0.538344698,0.982665696,0.936862745,0.9508,0.605434611,1.15366072,25.02,0.4,2,0,20.221516,15.458484,3,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,3,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,-0.3824,32.88,105.8129736,112.1000484,5.605002419
