#LB_label,#LA_label,#ID,ChargeTransfer,nH,nR08,nCp,nCs,nCq,nRNH2,nRNHR,nRNR2,nPyrrolidines,nPyrroles,nThiophenes,nPyridines,nPyrazines,nHDon,C-001,C-002,C-006,C-008,C-016,C-018,C-027,C-028,C-033,C-034,H-046,H-048,H-049,H-051,H-052,N-075,F-084,la_AMW,la_Me,la_Ms,la_nBM,la_ARR,la_RBF,la_nAB,la_nF,la_nCL,la_nB,la_nX,la_nBnz,la_nHAcc,la_C-026,la_H-050,la_F-084,la_Ui,la_MLOGP,la_LAI
1,1,C9H6NOF:AlCl3,-0.13688,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33.33,1.1,3.28,0,0.0,0.0,0,0,3,0,3,0,0,0,0,0,0.0,1.364,0
1,2,C9H6NOF:AlH3,-0.116,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.5,0.86,2.0,0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,0.0,-1.041,0
1,3,C9H6NOF:C18F15Al,-0.13362,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.53,1.19,4.43,18,0.5,0.083,18,15,0,0,15,3,15,15,0,15,4.248,7.875,1
1,4,C9H6NOF:C3H9Al,-0.09708,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.55,0.93,1.69,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,1.364,0
1,5,C9H6NOF:C2H5AlCl2,-0.12002,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.7,0.99,2.5,0,0.0,0.0,0,0,2,0,2,0,0,0,0,0,0.0,1.817,0
1,6,C9H6NOF:BH3,-0.28294,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.46,0.91,2.0,0,0.0,0.0,0,0,0,1,0,0,0,0,3,0,0.0,-1.041,0
1,7,C9H6NOF:BF3,-0.20068,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16.95,1.3,6.33,0,0.0,0.0,0,3,0,1,3,0,3,0,0,0,0.0,0.546,0
1,8,C9H6NOF:BCl3,-0.27712,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29.29,1.16,3.42,0,0.0,0.0,0,0,3,1,3,0,0,0,0,0,0.0,1.364,0
1,9,C9H6NOF:BBr3,-0.26876,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62.63,1.09,2.4,0,0.0,0.0,0,0,0,1,3,0,0,0,0,0,0.0,2.026,0
1,10,C9H6NOF:C18BF15,-0.32092,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.06,1.2,4.45,18,0.5,0.083,18,15,0,1,15,3,15,18,0,15,4.248,7.875,1
