#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,AMW,nROCON,la_nHM,nPyrroles,la_Mp,la_nH,nR08,H-047,Total_MW,nH,la_Hy,la_Me,nRNH2,C-024,nCconjX
1,1,C6H8N2O:AlCl3,-0.14156,0,1,7.3,0,1,0,1.89,0,0,4,257.49,8,0.0,1.1,0,0,0
1,2,C6H8N2O:AlH3,-0.12866,0,1,7.3,0,1,0,1.25,3,0,4,154.17,8,0.0,0.86,0,0,0
1,3,C6H8N2O:C18F15Al,-0.11996,0,1,7.3,0,1,0,0.78,0,0,4,652.32,8,-0.525,1.19,0,0,0
1,4,C6H8N2O:C3H9Al,-0.1018,0,1,7.3,0,1,0,0.79,9,0,4,196.26,8,-0.646,0.93,0,0,0
1,5,C6H8N2O:C2H5AlCl2,-0.12956,0,1,7.3,0,1,0,1.02,5,0,4,251.11,8,-0.359,0.99,0,0,0
1,6,C6H8N2O:BH3,-0.3048,1,1,7.3,0,0,0,0.72,3,0,4,138.0,8,0.0,0.91,0,0,0
1,7,C6H8N2O:BF3,-0.23782,1,1,7.3,0,0,0,0.67,0,0,4,191.97,8,0.0,1.3,0,0,0
1,8,C6H8N2O:BCl3,-0.28648,1,1,7.3,0,0,0,1.36,0,0,4,241.32,8,0.0,1.16,0,0,0
1,9,C6H8N2O:BBr3,-0.26954,1,1,7.3,0,0,0,1.73,0,0,4,374.67,8,0.0,1.09,0,0,0
1,10,C6H8N2O:C18BF15,-0.29654,1,1,7.3,0,0,0,0.72,0,0,4,636.15,8,-0.525,1.2,0,0,0
1,11,C6H8N2O:BI3,-0.23184,1,1,7.3,0,0,0,2.71,0,0,4,515.67,8,0.0,0.97,0,0,0
2,1,C8H7NO2S:AlCl3,-0.12384,0,2,9.54,0,1,0,1.89,0,1,3,314.56,7,0.0,1.1,0,0,0
2,2,C8H7NO2S:AlH3,-0.07844,0,2,9.54,0,1,0,1.25,3,1,3,211.24,7,0.0,0.86,0,0,0
2,3,C8H7NO2S:C18F15Al,-0.12638,0,2,9.54,0,1,0,0.78,0,1,3,709.39,7,-0.525,1.19,0,0,0
2,4,C8H7NO2S:C3H9Al,-0.07512,0,2,9.54,0,1,0,0.79,9,1,3,253.33,7,-0.646,0.93,0,0,0
2,5,C8H7NO2S:C2H5AlCl2,-0.11008,0,2,9.54,0,1,0,1.02,5,1,3,308.18,7,-0.359,0.99,0,0,0
2,6,C8H7NO2S:BH3,-0.26422,1,2,9.54,0,0,0,0.72,3,1,3,195.07,7,0.0,0.91,0,0,0
2,7,C8H7NO2S:BF3,-0.14992,1,2,9.54,0,0,0,0.67,0,1,3,249.04,7,0.0,1.3,0,0,0
2,8,C8H7NO2S:BCl3,-0.25678,1,2,9.54,0,0,0,1.36,0,1,3,298.39,7,0.0,1.16,0,0,0
2,9,C8H7NO2S:BBr3,-0.25028,1,2,9.54,0,0,0,1.73,0,1,3,431.74,7,0.0,1.09,0,0,0
2,11,C8H7NO2S:BI3,-0.19442,1,2,9.54,0,0,0,2.71,0,1,3,572.74,7,0.0,0.97,0,0,0
2,12,C8H7NO2S:O2S,-0.0223,0,2,9.54,0,0,0,0.85,0,1,3,245.3,7,0.0,1.24,0,0,0
3,1,C7H8N2O2S:AlCl3,-0.10326,0,2,9.21,0,1,0,1.89,0,0,8,317.57,8,0.0,1.1,0,0,0
3,2,C7H8N2O2S:AlH3,-0.0681,0,2,9.21,0,1,0,1.25,3,0,8,214.25,8,0.0,0.86,0,0,0
3,3,C7H8N2O2S:C18F15Al,-0.201,0,2,9.21,0,1,0,0.78,0,0,8,712.4,8,-0.525,1.19,0,0,0
3,5,C7H8N2O2S:C2H5AlCl2,-0.08494,0,2,9.21,0,1,0,1.02,5,0,8,311.19,8,-0.359,0.99,0,0,0
3,6,C7H8N2O2S:BH3,-0.22192,1,2,9.21,0,0,0,0.72,3,0,8,198.08,8,0.0,0.91,0,0,0
3,7,C7H8N2O2S:BF3,0.00218,1,2,9.21,0,0,0,0.67,0,0,8,252.05,8,0.0,1.3,0,0,0
3,8,C7H8N2O2S:BCl3,-0.0014,1,2,9.21,0,0,0,1.36,0,0,8,301.4,8,0.0,1.16,0,0,0
3,11,C7H8N2O2S:BI3,0.01072,1,2,9.21,0,0,0,2.71,0,0,8,575.75,8,0.0,0.97,0,0,0
4,1,C10H16N2O2:AlCl3,-0.13576,0,2,6.54,0,1,0,1.89,0,1,8,329.61,16,0.0,1.1,0,0,0
4,2,C10H16N2O2:AlH3,-0.10774,0,2,6.54,0,1,0,1.25,3,1,8,226.29,16,0.0,0.86,0,0,0
4,3,C10H16N2O2:C18F15Al,-0.13932,0,2,6.54,0,1,0,0.78,0,1,8,724.44,16,-0.525,1.19,0,0,0
4,4,C10H16N2O2:C3H9Al,-0.08454,0,2,6.54,0,1,0,0.79,9,1,8,268.38,16,-0.646,0.93,0,0,0
4,5,C10H16N2O2:C2H5AlCl2,-0.12194,0,2,6.54,0,1,0,1.02,5,1,8,323.23,16,-0.359,0.99,0,0,0
4,6,C10H16N2O2:BH3,-0.28116,1,2,6.54,0,0,0,0.72,3,1,8,210.12,16,0.0,0.91,0,0,0
4,7,C10H16N2O2:BF3,-0.21876,1,2,6.54,0,0,0,0.67,0,1,8,264.09,16,0.0,1.3,0,0,0
4,8,C10H16N2O2:BCl3,-0.28102,1,2,6.54,0,0,0,1.36,0,1,8,313.44,16,0.0,1.16,0,0,0
4,9,C10H16N2O2:BBr3,-0.27182,1,2,6.54,0,0,0,1.73,0,1,8,446.79,16,0.0,1.09,0,0,0
4,10,C10H16N2O2:C18BF15,-0.30786,1,2,6.54,0,0,0,0.72,0,1,8,708.27,16,-0.525,1.2,0,0,0
4,11,C10H16N2O2:BI3,-0.23758,1,2,6.54,0,0,0,2.71,0,1,8,587.79,16,0.0,0.97,0,0,0
4,12,C10H16N2O2:O2S,-0.07768,0,2,6.54,0,0,0,0.85,0,1,8,260.35,16,0.0,1.24,0,0,0
5,1,C9H9N3OS:AlCl3,-0.11056,0,1,9.01,0,1,0,1.89,0,0,7,340.61,9,0.0,1.1,0,0,0
5,2,C9H9N3OS:AlH3,-0.1036,0,1,9.01,0,1,0,1.25,3,0,7,237.29,9,0.0,0.86,0,0,0
5,3,C9H9N3OS:C18F15Al,-0.11854,0,1,9.01,0,1,0,0.78,0,0,7,735.44,9,-0.525,1.19,0,0,0
5,4,C9H9N3OS:C3H9Al,-0.09272,0,1,9.01,0,1,0,0.79,9,0,7,279.38,9,-0.646,0.93,0,0,0
