,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
0,Total_MW,2181063634090.7197,-0.0005132146091523266,0.0219432794232368,0.01788214440708487
1,MW,-301079982295.803,-0.004222184127391233,0.005126211440893415,0.008989993190523094
2,AMW,0.20855712890625,0.017507039405022642,0.012017123308274263,0.009983691816026565
3,Mv,-0.200347900390625,-0.13080865613632348,0.007308652211039642,0.007509274939248472
4,Me,-0.035675048828125,0.014186880458956087,0.00888204824473979,0.026810916071914416
5,Mp,0.221649169921875,0.09841549474679201,0.007376382752923723,0.004095795536394194
6,Ms,0.01239013671875,-0.02641398200294648,0.008183716273920373,0.007142787328298727
7,nAT,456932902247.01764,-0.023718482474339983,0.004019739873088216,0.00427743123795254
8,nSK,-337485152372.33777,0.005287479209184401,0.0037073798768199272,0.0048086488765731435
9,nBT,-62359858988.18683,-0.0016432604286055813,0.004297892105390251,0.0022082696576385162
10,nBO,62953788314.9471,0.027362701256326005,0.004775871946767608,0.0046851190626219265
11,nBM,210633146871.7495,-0.013406009383521232,0.0036346606001760253,0.003917718083214709
12,SCBO,110392330926.92111,0.004815924452076023,0.006647061218312423,0.007268588879009418
13,ARR,0.025146484375,-0.02498231947925825,0.004462938947213691,0.006464939335521411
14,nCIC,-407981895482.9537,-0.03148742630109529,0.0010979751013734322,0.00028268206049370843
15,nCIR,-271701347505.50473,0.0033296087525936,0.002261600827555572,0.0009913327857872952
16,RBN,737881946309.2079,0.08143822967607653,0.00037823775854771343,2.2272274853918972e-05
17,RBF,-530334489983.1492,0.0035000046382286844,0.00041347033155651226,4.6087089015149595e-05
18,nDB,-163826553371.91617,-0.015608678898954523,0.004945963675687223,0.0032442097824779
19,nTB,1448817312529.147,-0.005359621770949207,0.0018881999093778164,0.0004823557231302679
20,nAB,-593401678285.2708,0.007562291291002389,0.0019791385612436146,0.0041145693621655955
21,nH,-412180950806.5615,-0.02900596168388134,0.003933928287256647,0.0052267071998086286
22,nC,-257298622119.8966,-0.022950108321870215,0.004584113227548579,0.0045624362568431375
23,nN,-219494642315.0448,-0.010977621726693077,0.0022031892342635286,0.0010198690078910945
24,nO,61953250876.57608,0.03650953689752589,0.0089706411528338,0.008076298621227303
25,nS,172581324628.0882,0.007539575898683948,0.002797482018490642,0.0005066106030440982
26,nF,-953063519602.4589,0.012163148369540126,0.0009916244935571623,0.0014520772408766563
27,nCL,112309554983.87791,-0.01699705190331231,4.8750004527323373e-05,1.1579535471931092e-05
28,nX,-652839656604.5353,-0.004833903529971502,0.0011690347098593625,0.00026954234540412967
29,nR05,326338118049.0551,-0.017496510006202608,0.004136899665255796,0.0030862719366223897
30,nR06,57996420370.07042,-0.013990916289713337,0.0025463176667801283,0.00297046010659011
31,nR08,445326901189.75275,0.0013214967691137,0.0004534554433325436,0.00015921563956213382
32,nR09,314606762954.2283,-0.02422987852316016,0.0013092617402139198,0.0014060400180744405
33,nR10,345733559129.46594,-0.002912758750974559,0.0011095511780981836,0.00020699087119178624
34,nR11,-538134904956.0608,0.013130974535309705,3.0445591031902694e-05,2.7997909811030726e-05
35,nR12,8953811444.654068,-0.011120716581293794,0.0010973166000121375,0.0006893189622959881
