,lr,ridge,svr,knn,ann,forest,gbrt
0,-0.5089460078030535,-0.5217612459442695,-0.4321275601928767,-0.6667206295875299,-0.29875871883287936,-0.3236448475385419,-0.2925893951919527
1,-0.3177124979929557,-0.32173195208129074,-0.23944130928016694,-0.4786568483144888,-0.237061304760346,-0.20089006558365555,-0.13199152712965365
2,-0.39726695949412955,-0.39789253467321495,-0.220665053491289,-0.5701541703566123,-0.2132691153052177,-0.24134291848437597,-0.19675826718203385
3,-0.3403050265314521,-0.3405825900757066,-0.32119716661132375,-0.6207301051560238,-0.2541699981114422,-0.21696177523461868,-0.18875440547636138
4,-0.5064244430179141,-0.4646125158543663,-0.3876533035712233,-0.6627035661731604,-0.24603121900701577,-0.3213497298602157,-0.30430815203815603
5,-0.40111629576711605,-0.4114046731939602,-0.21616223343146573,-0.39424558054310105,-0.266856854095731,-0.24633875748206996,-0.1997791916448775
6,-0.371296180752337,-0.3819256344353744,-0.3278862191586854,-0.6866038554404225,-0.22003768173569618,-0.17091016770454137,-0.13318715656315183
7,-0.4254230149875904,-0.41479286848487706,-0.34690960710462876,-0.6267630396817815,-0.2646115854916189,-0.22728547117090636,-0.21948200733885384
8,-0.40590491116029814,-0.3974060152528079,-0.29604717411996384,-0.5519495081775856,-0.3008540646911116,-0.2888152489232088,-0.28949738320325635
9,-0.4837036916774404,-0.49953654296003464,-0.44795202698894626,-0.699859431924868,-0.25215096124475517,-0.335070211295295,-0.26011435087460094
10,-0.4998799973666816,-0.47814162698437784,-0.3080390846448902,-0.5851499262490825,-0.2195192713662077,-0.24055535401594075,-0.21170257342866863
11,-0.5687681419799318,-0.5847177218052494,-0.5692331547919091,-0.8532889127168095,-0.2502837753140112,-0.4312110718034304,-0.2884903782041905
12,-0.35327633788417967,-0.34813444081785805,-0.27357016287829916,-0.5440551917252636,-0.2563764555801472,-0.21242882035144997,-0.16706547641848596
13,-0.41507233728888127,-0.36956027970834193,-0.22690571566639103,-0.5005438524135635,-0.1931195195198862,-0.20032817843293554,-0.19082913155329082
14,-0.29381949661219364,-0.3041415812923151,-0.2258013979736086,-0.5010911728142495,-0.2763364157671666,-0.2115170056997896,-0.19601423930645834
15,-0.5719019668084627,-0.5686964928600171,-0.5411815417465309,-0.7694951242470225,-0.3241367355879866,-0.43600013353009215,-0.3610986840153668
16,-0.3926555647740042,-0.4056857636244315,-0.3428136339982495,-0.6424424787537615,-0.2324552782855348,-0.2446384610409865,-0.20638904704561636
17,-0.3258683074394045,-0.34339334950633466,-0.18018435468536656,-0.42247994316511756,-0.2690853110564794,-0.18803259139345088,-0.15072876371744343
18,-0.3937141715296711,-0.38992836517747254,-0.2924831701756997,-0.5676290986190679,-0.2392530316380891,-0.23388713173034117,-0.19708103625485773
19,-0.4062324270418537,-0.4115921276458112,-0.2583595565047706,-0.5001015790872056,-0.22968560187032028,-0.22655275192229893,-0.17891980324791712
20,-0.3941912220507571,-0.4167756903830966,-0.31851934764241907,-0.5339535354836777,-0.2417980887596909,-0.2193981464795914,-0.18957400940559796
21,-0.4723124336361411,-0.4748572229808946,-0.44743792784265574,-0.7280427401365499,-0.27182345817126274,-0.28669308973730606,-0.2513673114934751
22,-0.34908754469420594,-0.35410162801023426,-0.1689267445221593,-0.3718113844678448,-0.18754731398526198,-0.14002016749806714,-0.14430469714048744
23,-0.38846216796102595,-0.384146855655984,-0.3086063503203746,-0.6136635475314528,-0.2213998261143106,-0.34339866320161017,-0.31671677239235624
24,-0.44505895992816696,-0.45805809220916616,-0.386499193777311,-0.6261818328063699,-0.2607271926739162,-0.279668000960293,-0.23539805248229143
25,-0.4924447217910427,-0.5061200650277927,-0.47289697858617885,-0.7235639263404124,-0.2804082768328917,-0.3453557500928258,-0.3091023351128329
26,-0.4385211411985864,-0.43505886101046837,-0.3166138896056947,-0.6095350910387631,-0.32042852022316365,-0.2393876698764427,-0.21364929365957927
27,-0.3505496137159564,-0.3353819462021278,-0.27317491901380303,-0.5021877176675317,-0.16855219809698654,-0.22273953189200807,-0.14969359235702154
28,-0.392109953547871,-0.4048979954017754,-0.276633382630957,-0.5994454748763952,-0.24875845879059968,-0.2743421740910544,-0.1822875701387345
29,-0.3478384550677026,-0.3453958236671405,-0.2763328301379655,-0.6153584360544422,-0.32381565199443924,-0.22503967187396157,-0.20952151200264818
