#LB_label,#LA_label,#ID,ChargeTransfer,la_nB,nO,la_C-026,la_nHAcc,C-041,la_AMW,AMW,la_Mv,nPyrroles,TPSA(NO),la_Me,nRSR,nCt,nHDon,C-035,nPyridines,C-006,Total_MW,nCIR,la_nH,nBT,nR=Cs,la_Mp,nRNHR,nRCONR2,C-020,nCrt,RBN,C-033,nRNH2,Ui,nArNH2,H-051,nC,nR=Ct,nPyrazines,nCL,F-085,C-002,H-047,nBnz,ALOGP,AMR,nR08,nR12,nR09,C-005,C-027,C-028,C-019,C-016,la_nBT,la_H-050,la_Hy,la_nCL,la_nBO,la_F-084,la_nX,la_nSK,MW,la_nBnz,la_ARR,la_nC,la_nHM,la_MLOGP,la_Ms,la_nAT,la_nAB,la_nBM
1,1,C6H8N2O:AlCl3,-0.14156,0,1,0,0,0,33.33,7.3,1.16,0,52.89,1.1,0,0,1,0,0,0,257.49,0,0,16,1,1.89,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,0,0.0,3,3,0,3,4,124.16,0,0.0,0,1,1.364,3.28,4,0,0
1,2,C6H8N2O:AlH3,-0.12866,0,1,0,0,0,7.5,7.3,0.63,0,52.89,0.86,0,0,1,0,0,0,154.17,0,3,16,1,1.25,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,3,0.0,0,0,0,0,1,124.16,0,0.0,0,1,-1.041,2.0,4,0,0
1,3,C6H8N2O:C18F15Al,-0.11996,0,1,15,15,0,15.53,7.3,0.76,0,52.89,1.19,0,0,1,0,0,0,652.32,0,0,16,1,0.78,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,36,0,-0.525,0,36,15,15,34,124.16,3,0.5,18,1,7.875,4.43,34,18,18
1,4,C6H8N2O:C3H9Al,-0.1018,0,1,0,0,0,5.55,7.3,0.56,0,52.89,0.93,0,0,1,0,0,0,196.26,0,9,16,1,0.79,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,12,0,-0.646,0,3,0,0,4,124.16,0,0.0,3,1,1.364,1.69,13,0,0
1,5,C6H8N2O:C2H5AlCl2,-0.12956,0,1,0,0,0,12.7,7.3,0.71,0,52.89,0.99,0,0,1,0,0,0,251.11,0,5,16,1,1.02,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,9,0,-0.359,2,4,0,2,5,124.16,0,0.0,2,1,1.817,2.5,10,0,0
1,6,C6H8N2O:BH3,-0.3048,1,1,0,0,0,3.46,7.3,0.42,0,52.89,0.91,0,0,1,0,0,0,138.0,0,3,16,1,0.72,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,3,0.0,0,0,0,0,1,124.16,0,0.0,0,0,-1.041,2.0,4,0,0
1,7,C6H8N2O:BF3,-0.23782,1,1,0,3,0,16.95,7.3,0.51,0,52.89,1.3,0,0,1,0,0,0,191.97,0,0,16,1,0.67,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,0,0.0,0,3,0,3,4,124.16,0,0.0,0,0,0.546,6.33,4,0,0
1,8,C6H8N2O:BCl3,-0.28648,1,1,0,0,0,29.29,7.3,0.95,0,52.89,1.16,0,0,1,0,0,0,241.32,0,0,16,1,1.36,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,0,0.0,3,3,0,3,4,124.16,0,0.0,0,0,1.364,3.42,4,0,0
1,9,C6H8N2O:BBr3,-0.26954,1,1,0,0,0,62.63,7.3,1.24,0,52.89,1.09,0,0,1,0,0,0,374.67,0,0,16,1,1.73,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,3,0,0.0,0,3,0,3,4,124.16,0,0.0,0,0,2.026,2.4,4,0,0
1,10,C6H8N2O:C18BF15,-0.29654,1,1,18,15,0,15.06,7.3,0.73,0,52.89,1.2,0,0,1,0,0,0,636.15,0,0,16,1,0.72,0,0,0,0,1,0,0,2.0,0,0,6,1,0,0,0,0,4,0,0.313,34.737,0,0,0,1,0,0,0,1,36,0,-0.525,0,36,15,15,34,124.16,3,0.5,18,0,7.875,4.45,34,18,18
