#LB_label,#LA_label,#ID,ChargeTransfer,la_Me,la_nB,nO,la_nHM,la_Ui,la_nHAcc,la_AMW,C-041,AMW,nPyrroles,la_Mv,TPSA(NO),la_nF,nRSR,nCt,nHDon,C-033,nPyridines,C-006,la_nX,la_Ms,H-051,nX,la_MW,la_Mp,la_nAB,nF,C-027,nPyrazines,la_C-026,nCIC,ARR,H-049,nArNH2,nH,RBF,la_F-084,nRCO,nCrt,Total_MW,la_nBM,la_nBnz,la_LAI,la_ARR,la_RBF
1,1,C6H8N2O:AlCl3,-0.14156,1.1,0,1,1,0.0,0,33.33,0,7.3,0,1.16,52.89,0,0,0,1,0,0,0,3,3.28,0,0,133.33,1.89,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,257.49,0,0,0,0.0,0.0
1,2,C6H8N2O:AlH3,-0.12866,0.86,0,1,1,0.0,0,7.5,0,7.3,0,0.63,52.89,0,0,0,1,0,0,0,0,2.0,0,0,30.01,1.25,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,154.17,0,0,0,0.0,0.0
1,3,C6H8N2O:C18F15Al,-0.11996,1.19,0,1,1,4.248,15,15.53,0,7.3,0,0.76,52.89,15,0,0,1,0,0,0,15,4.43,0,0,528.16,0.78,18,0,0,0,15,0,0.0,0,0,8,0.063,15,0,0,652.32,18,3,1,0.5,0.083
1,4,C6H8N2O:C3H9Al,-0.1018,0.93,0,1,1,0.0,0,5.55,0,7.3,0,0.56,52.89,0,0,0,1,0,0,0,0,1.69,0,0,72.1,0.79,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,196.26,0,0,0,0.0,0.0
1,5,C6H8N2O:C2H5AlCl2,-0.12956,0.99,0,1,1,0.0,0,12.7,0,7.3,0,0.71,52.89,0,0,0,1,0,0,0,2,2.5,0,0,126.95,1.02,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,251.11,0,0,0,0.0,0.0
1,6,C6H8N2O:BH3,-0.3048,0.91,1,1,0,0.0,0,3.46,0,7.3,0,0.42,52.89,0,0,0,1,0,0,0,0,2.0,0,0,13.84,0.72,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,138.0,0,0,0,0.0,0.0
1,7,C6H8N2O:BF3,-0.23782,1.3,1,1,0,0.0,3,16.95,0,7.3,0,0.51,52.89,3,0,0,1,0,0,0,3,6.33,0,0,67.81,0.67,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,191.97,0,0,0,0.0,0.0
1,8,C6H8N2O:BCl3,-0.28648,1.16,1,1,0,0.0,0,29.29,0,7.3,0,0.95,52.89,0,0,0,1,0,0,0,3,3.42,0,0,117.16,1.36,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,241.32,0,0,0,0.0,0.0
1,9,C6H8N2O:BBr3,-0.26954,1.09,1,1,0,0.0,0,62.63,0,7.3,0,1.24,52.89,0,0,0,1,0,0,0,3,2.4,0,0,250.51,1.73,0,0,0,0,0,0,0.0,0,0,8,0.063,0,0,0,374.67,0,0,0,0.0,0.0
1,10,C6H8N2O:C18BF15,-0.29654,1.2,1,1,0,4.248,15,15.06,0,7.3,0,0.73,52.89,15,0,0,1,0,0,0,15,4.45,0,0,511.99,0.72,18,0,0,0,18,0,0.0,0,0,8,0.063,15,0,0,636.15,18,3,1,0.5,0.083
