,Decriptor,FI_LR,FI_RIDGE,FI_RF,FI_GB
0,Total_MW,-0.16594369476371612,-5.879081792871999e-06,0.01862338118309335,0.017581948364546327
1,MW,-0.33158742284603393,-2.5285749730895923e-06,0.0043020248600937165,0.0011051987977450449
2,AMW,0.10303350137387508,-1.3753490003662203e-07,0.008080568253555815,0.015165599577983812
3,Mv,-0.6523349938623835,-1.040314261417997e-08,0.006922934163060733,0.004518601864116022
4,Me,-2.474566667874337,-1.6111897596661462e-08,0.005196366160343217,0.005222078671129602
5,Mp,-1.2951344641761384,-1.0901510508655221e-08,0.007905336043461175,0.005713136956093552
6,Ms,0.00044589174563640713,-4.3222173097916466e-08,0.004322057192851974,0.005389119899028132
7,nAT,-0.2744475624027063,-2.873508420152811e-07,0.003245927776599872,0.002033350685486291
8,nSK,0.09202564449277786,-1.770824423053994e-07,0.0031236603057446352,0.0017289052657589825
9,nBT,1.201508253012416,-2.9883494875933246e-07,0.0034696549386455016,0.005796992740645058
10,nBO,1.5679814599339372,-1.8856654904945074e-07,0.003963469831507514,0.002102492949577732
11,nBM,-0.11834167068127655,-1.1702093209096675e-07,0.0050771912294059925,0.0024505132218148548
12,SCBO,0.05574782192092814,-2.623507078373624e-07,0.0048314696637078314,0.004972150985924172
13,ARR,0.21288173925893927,-6.87243534939588e-09,0.003832926814308198,0.0027823991236370508
14,nCIC,1.4759558154288765,-2.724415622979387e-08,0.001216858212414425,0.00020642295178608844
15,nCIR,0.08933016970969704,-4.122541708227019e-08,0.0012732831377373903,0.0017188512441908817
16,RBN,1.7742691989128814,-2.3531670439520846e-09,0.0004837377888101859,5.338046117288507e-05
17,RBF,0.2468128832832308,-8.702709842849758e-11,0.0004201067105652079,0.00011897202691838759
18,nDB,1.3547489923636182,-1.6088780782990158e-08,0.007383956279148754,0.0014009049354987808
19,nAB,-0.052799130482058865,-9.611261640735444e-08,0.002716389952737985,0.0015337183459121582
